SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
22.59469298,-1.294558048,-0.103981502,56.47999954,-1.606577992,25.29000092,15.46215343,2,0,3,8,102.57
22.60783966,-1.288913965,-0.135176107,56.55199814,-1.586395979,25.23999977,14.3168087,2,0,3,9,103.71
22.61787001,-1.290686011,-0.265152812,56.64199829,-1.602200985,25.17000008,13.98125839,2,0,3,10,104.85
22.6839882,-1.299236059,-0.306745887,56.69599915,-1.628244996,25.20000076,13.05737686,2,0,3,11,104.72
22.7560459,-1.305147052,-0.369135201,56.7140007,-1.642392039,25.27000046,15.99455929,2,0,3,12,104.59
22.76377093,-1.299317956,-0.530306101,56.76800156,-1.62046504,25.22999954,17.11306,2,0,3,13,104.46
22.87195659,-1.299725056,-0.587495387,56.76800156,-1.602753043,25.36000061,16.63657951,2,0,3,14,104.33
22.86188744,-1.304553032,-0.769462526,56.93000031,-1.556143999,25.20000076,16.60973549,2,0,3,15,104.2
22.83089761,-1.30437398,-0.863044918,57.11000061,-1.525316,25,13.95217705,2,0,3,16,104.08
22.93078434,-1.327787995,-0.618690193,57.16400146,-1.560461998,25.06999969,13.36608315,2,0,3,17,103.96
23.03275497,-1.357054949,-0.410727799,57.05599976,-1.612064004,25.29000092,13.5338583,2,0,3,18,103.84
22.99018951,-1.356917024,-0.270352989,56.85800171,-1.641028047,25.42000008,14.39957809,2,0,3,19,103.72
22.91594007,-1.345849037,-0.161171705,56.80400085,-1.641741037,25.37999916,15.49123478,2,0,3,20,103.6
22.87090335,-1.326272964,-0.207963303,56.87599945,-1.632172942,25.26000023,13.47793293,2,0,3,21,102.81
22.88009734,-1.308083057,-0.1923659,57.02000046,-1.648267031,25.13999939,11.46463203,2,0,3,22,102.02
22.9696858,-1.350340009,-0.041592579,56.98400116,-1.714293957,25.28000069,14.93198395,2,0,3,23,101.23
22.98506527,-1.315696955,-0.135176107,56.7859993,-1.698572993,25.47999954,16.33011055,2,0,3,24,100.44
22.85534548,-1.246701002,-0.389931411,56.76800156,-1.667408943,25.34000015,19.46191216,2,0,3,25,99.65
22.81550634,-1.167886019,-0.535504878,56.85800171,-1.620813012,25.20999908,17.02805328,2,0,3,26,100.56
22.80554198,-1.165676951,-0.613490582,56.9659996,-1.592815995,25.10000038,14.03718376,2,0,3,27,101.47
22.84874407,-1.201684952,-0.467916191,57.05599976,-1.578362942,25.06999969,12.66590118,2,0,3,28,102.38
22.83452254,-1.23597002,-0.192364603,56.89400101,-1.625967979,25.20000076,15.57400322,2,0,3,29,103.29
22.73798717,-1.244914055,-0.135175094,56.8219986,-1.622493982,25.14999962,16.41287804,2,0,3,30,104.2
22.63839251,-1.233906984,-0.213160798,56.91199875,-1.598104,24.95000076,13.28107738,2,0,3,31,104.28
22.70354102,-1.241513968,-0.1559719,57.02000046,-1.607550979,24.93000031,14.06402779,2,0,3,32,104.36
22.73492847,-1.248232961,0.00519906,56.84000015,-1.631103039,25.12999916,14.3168087,2,0,3,33,104.44
22.67713446,-1.230296016,-0.01559722,56.7859993,-1.640369058,25.11000061,15.29437828,2,0,3,34,104.52
22.74531542,-1.211560965,-0.031194471,56.6780014,-1.629245996,25.29000092,15.99455929,2,0,3,35,104.6
22.59651724,-1.185809016,-0.1195786,56.56999969,-1.609215021,25.20999908,18.61185074,2,0,3,36,104.52
22.46064244,-1.141543031,-0.462717205,56.6780014,-1.574324012,24.95000076,17.56046104,2,0,3,37,104.44
22.50691171,-1.130661011,-0.561499,56.75,-1.546113968,24.94000053,15.26753426,2,0,3,38,104.36
22.59416544,-1.149605036,-0.410724699,56.73199844,-1.564514995,25.05999947,14.23180294,2,0,3,39,104.28
22.57519648,-1.181187987,-0.337937504,56.69599915,-1.615913033,25.06999969,13.36608315,2,0,3,40,104.2
22.55312783,-1.21639502,-0.129976004,56.6780014,-1.611714005,25.05999947,14.03718376,2,0,3,41,103.09
22.51954028,-1.261437058,-0.088383667,56.6780014,-1.638672948,25.02000046,9.898731232,2,0,3,42,101.98
22.50799146,-1.291942954,-0.03119424,56.69599915,-1.68592,24.98999977,13.50477695,2,0,3,43,100.87
22.4964147,-1.330541015,-0.166369304,56.7140007,-1.677801967,24.95999908,11.54740047,2,0,3,44,99.76
22.51850974,-1.345710993,-0.161170304,56.73199844,-1.71471405,24.96999931,13.64570808,2,0,3,45,98.65
22.44458856,-1.324022055,-0.322340488,56.76800156,-1.650513053,24.85000038,15.77085972,2,0,3,46,98.93
22.42299429,-1.297994971,-0.457515597,56.84000015,-1.636530042,24.76000023,15.29437828,2,0,3,47,99.21
22.47948352,-1.286442995,-0.525103092,56.94800186,-1.615569949,24.72999954,12.24758244,2,0,3,48,99.49
22.51036192,-1.307759047,-0.519904017,57.05599976,-1.631474018,24.67000008,12.94552708,2,0,3,49,99.77
22.55444338,-1.314062953,-0.311942488,57.0019989,-1.667997956,24.77000046,14.17587757,2,0,3,50,100.05
